Coefficients order=180 Central=C   0:180
Observation time
          B0 angle & Nmax:        0          180





Max Harmonic Order:180              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
   35   28        0.7702593478        0.8288188770
   35   29       -2.6087252983        1.6943616631
   35   30        0.5013997644        1.5734212862
   35   31       -1.6484710379       -0.4200123477
   35   32       -1.4836735176        1.0926497812
   35   33       -0.8217943627       -1.9576824929
   35   34       -2.1968771217       -0.5991991999
   35   35        0.8139837250        0.9103576475
   36    0       -0.3193065911        0.0000000000
   36    1        0.7921470454       -0.8627187054
   36    2       -0.1000362426       -0.0268351771
   36    3        0.8773961276        0.2230681577
   36    4       -0.3673491704        0.1949303804
   36    5        0.2351442259        0.9336964331
   36    6       -0.1728141575        0.1429575484
   36    7       -1.4552016863        0.6124358308
   36    8        0.8284971659        0.2552300441
   36    9       -1.6921572826       -0.2223313933
   36   10        0.8147629786        0.3729869510
   36   11       -0.3062153578       -1.2798756691
   36   12        0.0220516561        0.8217772407
   36   13        0.3438500211       -1.7925074574
